district,population,total_cases,total_incidence_100k,inc_cases
SK Zweibrücken,34193,0,0.0000,0
LK Bernkastel-Wittlich,112483,3,2.6671,0
LK Bitburg-Prüm,99058,1,1.0095,0
SK Trier,111528,4,3.5865,0
LK Trier-Saarburg,149398,0,0.0000,0
LK Vulkaneifel,60646,1,1.6489,0
LK Merzig-Wadern,103243,0,0.0000,0
LK Neunkirchen,131408,0,0.0000,0
LK Saarlouis,194319,1,0.5146,0
LK Saarpfalz-Kreis,0,1,0.0000,0
LK Sankt Wendel,87007,1,1.1493,0
LK Stadtverband Saarbrücken,328714,4,1.2169,0
SK Chemnitz,246334,3,1.2179,0
LK Erzgebirgskreis,334948,0,0.0000,0
LK Mittelsachsen,304099,0,0.0000,0
LK Vogtlandkreis,225997,0,0.0000,0
LK Zwickau,315002,0,0.0000,0
LK Bautzen,299758,0,0.0000,0
SK Dresden,556780,10,1.7960,1
LK Görlitz,252725,1,0.3957,0
LK Meißen,241717,0,0.0000,0
LK Sächsische Schweiz-Osterzgebirge,245586,0,0.0000,0
SK Leipzig,593145,10,1.6859,0
LK Leipzig,258139,1,0.3874,0
LK Nordsachsen,197741,0,0.0000,0
LK Altmarkkreis Salzwedel,83173,0,0.0000,0
LK Anhalt-Bitterfeld,158486,0,0.0000,0
LK Börde,170923,0,0.0000,0
LK Burgenlandkreis,178846,0,0.0000,0
SK Dessau-Roßlau,80103,0,0.0000,0
SK Halle,238762,2,0.8377,0
LK Harz,213310,0,0.0000,0
LK Jerichower Land,89589,1,1.1162,0
SK Magdeburg,237565,3,1.2628,0
LK Mansfeld-Südharz,134942,0,0.0000,0
LK Saalekreis,183815,0,0.0000,0
LK Salzlandkreis,189125,0,0.0000,0
LK Stendal,111190,0,0.0000,0
LK Wittenberg,124953,0,0.0000,0
LK Dithmarschen,133193,0,0.0000,0
SK Flensburg,90164,0,0.0000,0
LK Herzogtum Lauenburg,198019,1,0.5050,0
SK Kiel,246794,0,0.0000,0
SK Lübeck,216530,1,0.4618,0
SK Neumünster,80196,0,0.0000,0
LK Nordfriesland,165951,1,0.6026,0
LK Ostholstein,200539,1,0.4987,0
LK Pinneberg,316103,2,0.6327,0
LK Plön,128686,1,0.7771,0
LK Rendsburg-Eckernförde,274098,1,0.3648,0
LK Schleswig-Flensburg,201156,0,0.0000,0
LK Segeberg,277175,1,0.3608,0
LK Steinburg,131013,1,0.7633,0
LK Stormarn,244156,1,0.4096,0
LK Altenburger Land,89393,0,0.0000,0
LK Eichsfeld,100006,0,0.0000,0
SK Erfurt,213981,1,0.4673,0
SK Gera,93125,0,0.0000,0
LK Gotha,134908,0,0.0000,0
LK Greiz,97398,0,0.0000,0
LK Hildburghausen,63197,0,0.0000,0
LK Ilm-Kreis,106249,0,0.0000,0
SK Jena,111343,2,1.7963,0
LK Kyffhäuserkreis,74212,0,0.0000,0
LK Nordhausen,83416,0,0.0000,0
LK Saale-Holzland-Kreis,82950,0,0.0000,0
LK Saale-Orla-Kreis,80312,0,0.0000,0
LK Saalfeld-Rudolstadt,103199,0,0.0000,0
LK Schmalkalden-Meiningen,124916,0,0.0000,0
LK Sömmerda,69427,0,0.0000,0
LK Sonneberg,57717,0,0.0000,0
SK Suhl,36789,0,0.0000,0
LK Unstrut-Hainich-Kreis,102232,0,0.0000,0
LK Wartburgkreis,118974,0,0.0000,0
SK Weimar,65228,0,0.0000,0
LK Weimarer Land,82156,0,0.0000,0
Unbekannt,0,0,0.0000,0
