index,gesamt,a00..04,a05..09,a10..14,a15..19,a20..24,a25..29,a30..34,a35..39,a40..44,a45..49,a50..54,a55..59,a60..64,a65..69,a70..74,a75..79,a80+,unbekannt
SK Hamburg,180,0,0,0,0,9,20,38,39,21,25,12,10,4,2,0,0,0,0
LK Bergstraße,3,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
SK Darmstadt,5,0,0,0,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0
LK Darmstadt-Dieburg,5,0,0,0,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0
SK Frankfurt am Main,106,0,0,0,0,1,16,12,26,17,16,11,6,1,0,0,0,0,0
LK Groß-Gerau,10,0,0,0,0,0,1,2,2,4,0,1,0,0,0,0,0,0,0
LK Hochtaunuskreis,4,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0
LK Main-Kinzig-Kreis,8,0,0,0,0,1,1,0,2,1,0,0,0,3,0,0,0,0,0
LK Main-Taunus-Kreis,7,0,0,0,0,1,2,1,2,0,1,0,0,0,0,0,0,0,0
LK Odenwaldkreis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SK Offenbach,10,0,0,0,0,1,0,3,0,4,1,1,0,0,0,0,0,0,0
LK Offenbach,11,0,0,0,0,1,0,2,3,1,2,1,1,0,0,0,0,0,0
LK Rheingau-Taunus-Kreis,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
LK Wetteraukreis,8,0,0,0,0,1,0,0,3,2,0,1,0,1,0,0,0,0,0
SK Wiesbaden,8,0,0,0,0,0,0,2,3,2,1,0,0,0,0,0,0,0,0
LK Gießen,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
LK Lahn-Dill-Kreis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LK Limburg-Weilburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LK Marburg-Biedenkopf,3,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
LK Vogelsbergkreis,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
LK Fulda,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
LK Hersfeld-Rotenburg,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SK Kassel,3,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
LK Kassel,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
LK Schwalm-Eder-Kreis,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
LK Waldeck-Frankenberg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LK Werra-Meißner-Kreis,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
LK Ludwigslust-Parchim,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
LK Mecklenburgische Seenplatte,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
LK Nordwestmecklenburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SK Rostock,3,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
LK Rostock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SK Schwerin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LK Vorpommern-Greifswald,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LK Vorpommern-Rügen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SK Braunschweig,4,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0
LK Gifhorn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LK Goslar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LK Göttingen,5,0,0,0,0,0,1,1,0,2,0,0,0,1,0,0,0,0,0
LK Helmstedt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LK Northeim,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
LK Peine,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SK Salzgitter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LK Wolfenbüttel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SK Wolfsburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LK Diepholz,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
LK Hameln-Pyrmont,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Region Hannover,18,0,0,0,0,2,3,4,3,3,1,2,0,0,0,0,0,0,0
LK Hildesheim,3,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
LK Holzminden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LK Nienburg (Weser),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LK Schaumburg,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
LK Celle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LK Cuxhaven,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
LK Harburg,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
LK Heidekreis,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
LK Lüchow-Dannenberg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LK Lüneburg,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
LK Osterholz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LK Rotenburg (Wümme),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LK Stade,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LK Uelzen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LK Verden,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
LK Ammerland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LK Aurich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LK Cloppenburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SK Delmenhorst,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SK Emden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LK Emsland,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
LK Friesland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LK Grafschaft Bentheim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LK Leer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SK Oldenburg,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
LK Oldenburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SK Osnabrück,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
LK Osnabrück,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
LK Vechta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LK Wesermarsch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SK Wilhelmshaven,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LK Wittmund,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SK Bochum,14,0,0,0,0,0,1,3,4,2,4,0,0,0,0,0,0,0,0
SK Dortmund,11,0,0,0,0,0,1,2,1,4,1,2,0,0,0,0,0,0,0
LK Ennepe-Ruhr-Kreis,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
SK Hagen,5,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0
SK Hamm,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SK Herne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LK Hochsauerlandkreis,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
LK Märkischer Kreis,4,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
LK Olpe,4,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0
LK Siegen-Wittgenstein,3,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
LK Soest,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
LK Unna,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
SK Bielefeld,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
LK Gütersloh,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
LK Herford,3,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
LK Höxter,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
LK Lippe,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
LK Minden-Lübbecke,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LK Paderborn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SK Duisburg,13,0,0,0,0,0,3,3,4,2,1,0,0,0,0,0,0,0,0
